 Title	Å|
 
Acquisition Time:16:51:03, Date:25-Jul-2015
 
kV:20.00, Tilt: 0.30, Take-off:35.20, AmpT:102.4
Detector Type :SUTW-Sapphire, Resolution :128.60, Lsec :50
 
 EDAX ZAF Quantification, Standardless, 
 Element Normalized
SEC Table : Default
 
 Element, Wt %, At %, K-Ratio, Z, A, F
 
 O K,  1.06,  6.76, 0.0027, 1.2772, 0.1964, 1.0007
 NiL, 30.05, 52.22, 0.1647, 1.1155, 0.4913, 1.0001
 ZrL,  4.96,  5.55, 0.0228, 1.0254, 0.4478, 1.0000
 W L, 63.93, 35.47, 0.5623, 0.8935, 0.9844, 1.0000
 Total, 100.000, 100.000
 
 Element, Net Inte., Bkgd Inte., Inte. Error, P/B
 
 O K,      3.34,      1.92,     11.35,      1.74
 NiL,     85.88,      4.02,      1.60,     21.36
 ZrL,     15.62,     12.78,      5.81,      1.22
 W L,     60.58,      8.00,      2.04,      7.57
 
